Folder,Subjective Quality
base_vlm--flip_pot_upright,4.700230285769603
base_vlm--move_salt_shaker_onto_plate,4.5724988748997815
dp--cover_white_bowl_with_towel,4.704072279088638
dp--knock_brown_bear_over,4.099838627709283
dp--move_corn_onto_plate,4.607978343963623
dp--pour_corn,4.719387679860212
dp--put_carrot,4.599348402023315
octo--cover_white_bowl_with_towel,4.8638184826548505
octo--knock_brown_bear_over,4.31173379982219
octo--move_corn_onto_plate,4.48407316775549
openvla--cover_white_bowl_with_towel,4.908566739824083
openvla--flip_pot_upright,4.785549263895294
openvla--knock_brown_bear_over,4.214690551757813
openvla--lift_AAA_battery_fail,4.87681565284729
openvla--lift_cheese,4.8768621815575495
openvla--lift_red_chili_pepper,4.838631277498991
openvla--move_banana_near_plate,4.6374612808227536
openvla--move_coke_can_near_taylor_swift,5.0868559769221715
openvla--move_corn_onto_plate,4.5716743136561195
openvla--move_salt_shaker_onto_plate,4.631668835878372
openvla--pick_coke_can,4.804616165161133
openvla--place_banana_on_plate,4.4629327705928254
openvla--pour_corn,4.721866742093512
openvla--put_blue_cup_on_plate--reattempt,4.89896457195282
openvla--put_carrot,4.596268955665298
openvla--put_carrot_on_plate--motion,4.892135830812676
openvla--put_corn_on_plate--clutter,4.593372708872745
openvla--put_eggplant_into_pot--clutter,4.844949683627567
openvla--put_pink_cup_on_plate,4.952726072735256
openvla--stack_blue_cup_on_pink_cup,4.667048092449413
